Name;Beschreibung;Kategorie;Zimmer;EZ Preis;DZ Preis;lat;lng;Adresse;Telefon;Website
all seasons Linz;"115 top-designte Nichtraucherzimmer mit breiten Wohlfühlbetten, großem Flat-TV mit umfangreicher Programmauswahl und gratis W-LAN. Entspannung  bietet die ruhige Gartenterrasse mit Freischwimmbad, zwei Tennisplätze und eine Sauna.
Das Hotel liegt verkehrsgünstig, rund 3km südlich vom Zentrum. Die historische Altstadt mit zahlreichen Kultur- und Shoppingangeboten sowie der Bahnhof sind mit Auto (Stadtautobahn Ausfahrt 'Wiener Straße') oder Straßenbahn (Haltestelle 'WIFI' - 200m entfernt) leicht zu erreichen.";Hotels;115;67,5;43,75;482810668,00;143046921,00;4020 Linz, Wankmüllerhofstraße 37;+43 732 347281 0;http://www.all-seasons-hotels.com/de/hotel-0519-all-seasons-hotel-linz-ex-novotel-linz/index.shtml (Neues Fenster)
Goldener Adler;Im ruhigeren Stadtteil Urfahr, nahe der Donau und dem Hauptplatz mit der wunderschönen Altstadt gelegen. Alle Komfortzimmer mit Dusche, Toilette, Telefon, Sat-TV, teilweise klimatisiert, in allen Zimmern Internetverbindung (WLAN). Unser Restaurant besticht mit seiner urigen 'Schmankerlhütte' und dem wunderschönen idyllischen Biergarten.;Hotels;43;71,25;51,25;483142026,00;142813165,00;4040 Linz, Hauptstraße 56;+43 732 731147;http://www.goldeneradler.at (Neues Fenster)
Spitz Hotel;Das neue Spitz Hotel im Zentrum liegt am Ufer der Donau. Mehr als nur ein Hotel repräsentiert das neue Spitz einen Ort des Designs, Lifestyle, Kunst, Kultur und Wirtschaft. Alle Zimmer sind lichtdurchflutet und bieten neben modernster Ausstattung einen angenehmen Komfort durch Holzböden und exklusives Design. Begleitet von Kunstobjekten der Linzer Kulturstätten ist jedes Zimmer anders in künstlerischer Gestaltung.;Hotels;73;88,25;53,75;483104728,00;142822327,00;4040 Linz, Fiedlerstraße 6;+43 732 733733;http://www.spitzhotel.at (Neues Fenster)
Hotel Sommerhaus;In ruhiger Lage im Universitätsviertel gelegen zeichnet sich das Hotel Sommerhaus durch die verkehrsgünstige Erreichbarkeit aus. Eigenes Hallenbad und Turnhalle sowie eine moderne 4-Bahn-Kegelhalle sorgen für Fitness und Geselligkeit. Das hauseigene kulinarische Angebot reicht vom kleinen Imbiss bis zum perfekten Menü.;Hotels;100;51;39,5;483315573,00;143229881,00;4040 Linz, Julius-Raab-Straße 10;+43 732 2457 376;http://www.sommerhaus-hotel.at (Neues Fenster)
City Hotel;Komfortables Innenstadthotel mit erstklassigem persönlichem Service, nähe Design Center, völlig neu gestaltet, Internet in jedem Zimmer, vollklimatisiert, Apero-Bar, reizvoller Wintergarten, Spezialitätenrestaurant, moderne Tagungsräume, großer Hotelparkplatz mit Garagen. Shuttle-Service mit Hoteltaxi von und zum Flughafen.;Hotels;40;95;55;482975757,00;142973501,00;4020 Linz, Schillerstraße 52;+43 732 652622;http://www.cityhotel.at (Neues Fenster)
Hotel Kreuzwirt;Der Kreuzwirt ist ein Landgasthof-Hotel mit familiärer Atmosphäre im Grünen, am Rande von Linz gelegen. 10 neue und 10 neurenovierte Zimmer, teilweise mit Balkon erwarten unsere Gäste. Genießen Sie leichte, bodenständige Küche in gemütlicher entspannter Atmosphäre. Im Sommer erwartet Sie unser überdachter Gastgarten.;Hotels;30;39;22;483359131,00;144262526,00;4209 Engerwitzdorf, Katsdorfer Straße 16;+43 7235 62274;http://www.kreuzwirt.cc (Neues Fenster)
Jugendgästehaus Linz;Im Grünen und doch zentral, neben Stadion und Sporthalle, ist das Jugendgästehaus idealer Ausgangspunkt um Linz zu entdecken.;Hotels;63;32;24,5;482932334,00;142738471,00;4020 Linz, Stanglhofweg 3;+43 732 664434;http://www.jugendherbergsverband.at/ (Neues Fenster)
Wienerwald;Ruhige Lage mit herrlichem Blick über Linz, großer Parkplatz, City-Nähe. Restaurant mit lokaler und internationaler Küche.;Hotels;14;20;19;482985534,00;142671299,00;4020 Linz, Freinbergstraße 18;+43 732 777881;http://www.wienerwald.com (Neues Fenster)
ARCOTEL Nike Linz;n bester Gesellschaft sind Sie im ARCOTEL Nike direkt an der Donau, mitten im Grünen mit Blick auf den Pöstlingberg - und doch nur fünf Gehminuten von der Linzer Altstadt mit zahlreichen Sehenswürdigkeiten und Einkaufsmöglichkeiten entfernt. 169 Doppelzimmer in 2 Kategorien und 5 Suiten (davon 3 Themensuiten) bieten höchsten Komfort. Der Wellnessbereich mit Indoor-Pool, Sauna und Dampfbad bietet Entspannung nach anstrengenden Businessmeetings und ausgiebigen Shopping- oder Sightseeing-Touren.;Hotels;174;85;52,5;483100534,00;142924413,00;4020 Linz, Untere Donaulände 9;+43 732 7626 0;http://www.arcotelhotels.com/nike (Neues Fenster)
Hotel zum Schwarzen Bären;Unser familiengeführtes Unternehmen bietet Ihnen alle Annehmlichkeiten, die Sie sich von einem gepflegten und serviceorientierten Hotel im Zentrum erwarten: Geschackvoll moderne Ausstattung, ausgiebiges Frühstücksbuffet, Restaurant 'Bärenstub'n' mit Gastgarten, hauseigene Tiefgarage. Das Hotel ist das Geburtshaus des legendären Operettentenors Richard Tauber. kostenloses W-LAN;Hotels;50;78;56;483027456,00;142862582,00;4020 Linz, Herrenstraße 11;+43 732 772477 0;http://www.linz-hotel.at (Neues Fenster)
